"1547418  "
"1200187  "
"1365805  "
"2327821  "
"1004180  "
"1009380  "
"637267  "
"1107041  "
"1144035  "
"7599647  "
"739467  "
"1114137  "
"942363  "
"1015966  "
"1269636  "
"1478818  "
"1259612  "
"618056  "
"830235  "
"1144119  "
"43829  "
"1100290  "
"1167713  "
"1002187  "
"1847867  "
"748056  "
"600296  "
"629651  "
"5383890  "
"454744  "
"272647  "
"1911818  "
"5648235  "
"1014065  "
"2507509  "
"4202320  "
"443212  "
"3086126  "
"497393  "
"866219  "
"465563  "
"699253  "
"1456951  "
"2795243  "
"4051005  "
"680380  "
"795504  "
"3898628  "
"1507390  "
"1223395  "
"2610800  "
"1272109  "
"3214623  "
"1963007  "
"1318103  "
"3183038  "
"2440815  "
"1238416  "
"834701  "
"4315699  "
"3723969  "
"1663795  "
"541479  "
"1518695  "
"3475753  "
"218866  "
"324423  "
"536167  "
"2332813  "
"2874026  "
"2397763  "
"2674256  "
"2793384  "
"1944195  "
"1077442  "
"983273  "
"967009  "
"1065785  "
"314723  "
"1902718  "
"1321473  "
"793194  "
"141234  "
"489638  "
"159913  "
"49663  "
